Name,URI

Nile Rodgers,spotify:artist:3yDIp0kaq9EFKe07X1X2rz
Chic,spotify:artist:0Xf8oDAJYd2D0k3NLI19OV
The Brothers Johnson,spotify:artist:6h3rSZ8VLK7a5vXjEmhfuD
Sister Sledge,spotify:artist:6gkWznnJkdkwRPVcmnrays
Kool & The Gang,spotify:artist:3VNITwohbvU5Wuy5PC6dsI

Linkin Park,spotify:artist:6XyY86QOPPrYVGvF9ch6wz
Walk The Moon,spotify:artist:6DIS6PRrLS3wbnZsf7vYic
Beach Boys,spotify:artist:3oDbviiivRWhXwIE8hxkVV
Keith Urban,spotify:artist:0u2FHSq3ln94y5Q57xazwf
Lost Kings,spotify:artist:3hyEbRtp617pNCuuQjyOmc
Led Zeppelin,spotify:artist:36QJpDe2go2KgaRleHCDTp
Prince,spotify:artist:5a2EaR3hamoenG9rDuVn8j
David Bowie,spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy
Duran Duran,spotify:artist:0lZoBs4Pzo7R89JM9lxwoT
Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm
Britney Spears,spotify:artist:26dSoYclwsYLMAKD3tpOr4
The Doobie Brothers,spotify:artist:39T6qqI0jDtSWWioX8eGJz
ABBA,spotify:artist:0LcJLqbBmaGUft1e9Mm8HV
